id,post_parent,image,image_gallery,post_title,post_content,post_excerpt,post_name,post_date,_sku,product_cat,product_tag,_regular_price,_sale_price,_sale_price_dates_from,_sale_price_dates_to,_featured,_tax_status,_tax_class,_weight,_height,_width,_length,_stock,_stock_status,_manage_stock,_backorders,_sold_individually,product_shipping_class,grouped_items,_product_adminlink,_purchase_note,post_status,_visibility,_upsell_ids,_crosssell_ids,_downloadable,_virtual,_download_expiry,_download_limit,_downloadable_files,_download_type,_product_url,_button_text,comment_status,menu_order,product_type,_product_permalink,_default_attributes,_custom_attributes,_variation_description,post_author,attribute_pa_tallas
4228,0,https://www.juliaconfecciones.cl/wp-content/uploads/,,Delantal Blanco,,"[vc_row][vc_column][vc_custom_heading text=""Seleccionar talla "" font_container=""tag:h5|text_align:left""][vc_btn title="" 6"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-6%2F|title:6||""] [vc_btn title="" 8"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-8%2F|title:8||""][vc_btn title=""10"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-10%2F|title:10||""][vc_btn title=""12"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-12%2F|title:12||""][vc_btn title=""14"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-14%2F|title:14||""][vc_btn title=""16"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-16%2F|title:16||""][vc_btn title="" S"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-s%2F|title:S||""][vc_btn title="" M"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-m%2F|title:M||""][vc_btn title=""L"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-l%2F|title:L||""][vc_btn title=""XL"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-xl%2F|title:XL||""] [vc_btn title=""XXL"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-XXL%2F|title:XXL||""][/vc_column][/vc_row]",delantal-blanco,2024-01-28 01:28:48,97000,Delantales Escolares,,,,,,no,taxable,Standard,,,,,,instock,no,no,,,Choose a grouped product...,post.php?post=4228&action=edit,,publish,visible,,,no,no,,,,,,,no,9001,simple,https://www.juliaconfecciones.cl/producto/delantal-blanco/,,,,Julia Confecciones,
4209,0,https://www.juliaconfecciones.cl/wp-content/uploads/,,Delantal Blanco Talla XXL,,"[vc_row][vc_column][vc_custom_heading text=""Seleccionar talla "" font_container=""tag:h5|text_align:left""][vc_btn title="" 6"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-6%2F|title:6||""] [vc_btn title="" 8"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-8%2F|title:8||""][vc_btn title=""10"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-10%2F|title:10||""][vc_btn title=""12"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-12%2F|title:12||""][vc_btn title=""14"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-14%2F|title:14||""][vc_btn title=""16"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-16%2F|title:16||""][vc_btn title="" S"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-s%2F|title:S||""][vc_btn title="" M"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-m%2F|title:M||""][vc_btn title=""L"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-l%2F|title:L||""][vc_btn title=""XL"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-xl%2F|title:XL||""] [vc_btn title=""XXL"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-XXL%2F|title:XXL||""][/vc_column][/vc_row]",delantal-blanco-talla-xxl,2024-01-26 16:20:23,97026,Delantales,,18000,,,,no,taxable,Standard,,,,,,instock,no,no,,,Choose a grouped product...,post.php?post=4209&action=edit,,publish,visible,,,no,no,,,,,,,no,224,simple,https://www.juliaconfecciones.cl/producto/delantal-blanco-talla-xxl/,,,,Julia Confecciones,XXL
4208,0,,,Delantal Blanco Talla 6,,"[vc_row][vc_column][vc_custom_heading text=""Seleccionar talla "" font_container=""tag:h5|text_align:left""][vc_btn title="" 6"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-6%2F|title:6||""] [vc_btn title="" 8"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-8%2F|title:8||""][vc_btn title=""10"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-10%2F|title:10||""][vc_btn title=""12"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-12%2F|title:12||""][vc_btn title=""14"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-14%2F|title:14||""][vc_btn title=""16"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-16%2F|title:16||""][vc_btn title="" S"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-s%2F|title:S||""][vc_btn title="" M"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-m%2F|title:M||""][vc_btn title=""L"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-l%2F|title:L||""][vc_btn title=""XL"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-xl%2F|title:XL||""] [vc_btn title=""XXL"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-blanco-talla-XXL%2F|title:XXL||""][/vc_column][/vc_row]",delantal-blanco-talla-6,2024-01-26 15:46:27,97006,Delantales,,12500,,,,no,taxable,Standard,,,,,,instock,no,no,,,Choose a grouped product...,post.php?post=4208&action=edit,,publish,visible,,,no,no,-1,-1,,,,,no,220,simple,https://www.juliaconfecciones.cl/producto/delantal-blanco-talla-6/,,,,Julia Confecciones,8
4203,0,,,prueba,"[vc_row full_width=""""][vc_column width=""1/1""][vc_column_text css_animation=""""]I am text block. Click edit button to change this text. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut elit tellus, luctus nec ullamcorper mattis, pulvinar dapibus leo.[/vc_column_text][vc_separator color=""grey"" align=""align_center"" style="""" border_width="""" el_width=""""][vc_single_image image="""" alignment="""" style="""" border_color=""grey"" img_link_large="""" img_link_target=""_self"" css_animation=""""][vc_separator color=""grey"" align=""align_center"" style="""" border_width="""" el_width=""""][/vc_column][/vc_row][vc_row full_width=""""][vc_column width=""1/2""][vc_column_text css_animation=""""]I am text block. Click edit button to change this text. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut elit tellus, luctus nec ullamcorper mattis, pulvinar dapibus leo.[/vc_column_text][vc_btn title=""Read more"" style=""flat"" shape=""rounded"" color=""blue"" size=""md"" align=""inline"" i_align=""left"" i_type=""fontawesome"" i_icon_fontawesome=""fa fa-adjust"" i_icon_openiconic=""vc-oi vc-oi-dial"" i_icon_typicons=""typcn typcn-adjust-brightness"" i_icon_entypo=""entypo-icon entypo-icon-note"" i_icon_linecons=""vc_li vc_li-heart"" button_block="""" add_icon="""" i_icon_pixelicons=""vc_pixel_icon vc_pixel_icon-alert""][/vc_column][vc_column width=""1/2""][vc_column_text css_animation=""""]I am text block. Click edit button to change this text. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut elit tellus, luctus nec ullamcorper mattis, pulvinar dapibus leo.[/vc_column_text][vc_btn title=""Read more"" style=""flat"" shape=""rounded"" color=""blue"" size=""md"" align=""inline"" i_align=""left"" i_type=""fontawesome"" i_icon_fontawesome=""fa fa-adjust"" i_icon_openiconic=""vc-oi vc-oi-dial"" i_icon_typicons=""typcn typcn-adjust-brightness"" i_icon_entypo=""entypo-icon entypo-icon-note"" i_icon_linecons=""vc_li vc_li-heart"" css_animation="""" button_block="""" add_icon="""" i_icon_pixelicons=""vc_pixel_icon vc_pixel_icon-alert""][/vc_column][/vc_row]",,prueba,2024-01-25 22:09:31,,Sin categoría,,1000,,,,no,taxable,Standard,,,,,,instock,no,no,,,Choose a grouped product...,post.php?post=4203&action=edit,,publish,visible,,,no,no,-1,-1,,,,,no,0,simple,https://www.juliaconfecciones.cl/producto/prueba/,,,,Julia Confecciones,
3009,0,https://www.juliaconfecciones.cl/wp-content/uploads/,https://www.juliaconfecciones.cl/wp-content/uploads/2020/12/WhatsApp-Image-2020-12-27-at-18.22.17.jpeg|https://www.juliaconfecciones.cl/wp-content/uploads/2020/12/WhatsApp-Image-2020-12-27-at-18.23.21.jpeg,Uniformes Empresas,,Contamos con variados modelos y productos para que tus trabajadores representen a tu empresa.,uniformes-empresas,2020-12-27 18:58:40,UCLIN-2,Uniformes Clínicos,,0,,,,no,taxable,Standard,,,,,992,instock,yes,no,,,Choose a grouped product...,post.php?post=3009&action=edit,,publish,visible,,,no,no,-1,-1,,,,,no,819,simple,https://www.juliaconfecciones.cl/producto/uniformes-empresas/,,,,Julia Confecciones,
3008,0,https://www.juliaconfecciones.cl/wp-content/uploads/,https://www.juliaconfecciones.cl/wp-content/uploads/2017/02/clinico1.jpg|https://www.juliaconfecciones.cl/wp-content/uploads/2017/02/clinico2.jpg|https://www.juliaconfecciones.cl/wp-content/uploads/2017/02/clinico3.jpg|https://www.juliaconfecciones.cl/wp-content/uploads/2017/02/clinico4.jpg|https://www.juliaconfecciones.cl/wp-content/uploads/2017/02/clinico6.jpg|https://www.juliaconfecciones.cl/wp-content/uploads/2017/02/clinico7-150x150.jpg,Uniformes Clínicos (copia),,Indícanos tus medidas y preferencias en los comentarios del pedido y te entregaremos una cotización,,2020-12-27 18:58:37,UCLIN-1,Uniformes Clínicos,,0,,,,no,taxable,Standard,,,,,992,instock,yes,no,,,Choose a grouped product...,post.php?post=3008&action=edit,,draft,visible,,,no,no,-1,-1,,,,,no,0,simple,https://www.juliaconfecciones.cl/?post_type=product&p=3008,,,,Julia Confecciones,
2785,0,https://www.juliaconfecciones.cl/wp-content/uploads/,,Delantal Cuadrille Azul,,"[vc_row][vc_column][vc_custom_heading text=""Seleccionar talla "" font_container=""tag:h5|text_align:left""] [vc_btn title=""4"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-4%2F|title:4||""][vc_btn title=""6"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-6%2F|title:6||""] [vc_btn title="" 8"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-8%2F|title:8||""][vc_btn title=""10"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-10%2F|title:10||""][vc_btn title=""12"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-12%2F|title:12||""][vc_btn title=""14"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-14%2F|title:14||""][vc_btn title=""16"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-16%2F|title:16||""][vc_btn title="" S"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-s%2F|title:S||""] [/vc_column][/vc_row]",delantal-cuadrille-azul,2019-01-14 17:09:45,590,Delantales Escolares,,,,,,no,taxable,Standard,,,,,,instock,no,no,,,Choose a grouped product...,post.php?post=2785&action=edit,,draft,visible,,,no,no,-1,-1,,,,,yes,0,simple,https://www.juliaconfecciones.cl/?post_type=product&p=2785,,,,Felipe Villenas Cortez,
2784,0,https://www.juliaconfecciones.cl/wp-content/uploads/,,Delantal Cuadrille Azul Talla 4,,"[vc_row][vc_column][vc_custom_heading text=""Seleccionar talla "" font_container=""tag:h5|text_align:left""] [vc_btn title=""4"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-4%2F|title:4||""][vc_btn title=""6"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-6%2F|title:6||""] [vc_btn title="" 8"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-8%2F|title:8||""][vc_btn title=""10"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-10%2F|title:10||""][vc_btn title=""12"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-12%2F|title:12||""][vc_btn title=""14"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-14%2F|title:14||""][vc_btn title=""16"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-16%2F|title:16||""][vc_btn title="" S"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-s%2F|title:S||""] [/vc_column][/vc_row]",delantal-cuadrille-azul-talla-4,2019-01-14 17:09:45,59004,Delantales Escolares,,12500,,,,no,taxable,Standard,,,,,,instock,no,no,,,Choose a grouped product...,post.php?post=2784&action=edit,,draft,search,,,no,no,-1,-1,,,,,yes,0,simple,https://www.juliaconfecciones.cl/?post_type=product&p=2784,,,,Felipe Villenas Cortez,4
2783,0,https://www.juliaconfecciones.cl/wp-content/uploads/,,Delantal Cuadrille Azul Talla 6,,"[vc_row][vc_column][vc_custom_heading text=""Seleccionar talla "" font_container=""tag:h5|text_align:left""] [vc_btn title=""4"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-4%2F|title:4||""][vc_btn title=""6"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-6%2F|title:6||""] [vc_btn title="" 8"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-8%2F|title:8||""][vc_btn title=""10"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-10%2F|title:10||""][vc_btn title=""12"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-12%2F|title:12||""][vc_btn title=""14"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-14%2F|title:14||""][vc_btn title=""16"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-16%2F|title:16||""][vc_btn title="" S"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-s%2F|title:S||""] [/vc_column][/vc_row]",delantal-cuadrille-azul-talla-6,2019-01-14 17:09:45,59006,Delantales Escolares,,12500,,,,no,taxable,Standard,,,,,,instock,no,no,,,Choose a grouped product...,post.php?post=2783&action=edit,,draft,search,,,no,no,-1,-1,,,,,yes,0,simple,https://www.juliaconfecciones.cl/?post_type=product&p=2783,,,,Felipe Villenas Cortez,6
2782,0,https://www.juliaconfecciones.cl/wp-content/uploads/,,Delantal Cuadrille Azul Talla 8,,"[vc_row][vc_column][vc_custom_heading text=""Seleccionar talla "" font_container=""tag:h5|text_align:left""] [vc_btn title=""4"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-4%2F|title:4||""][vc_btn title=""6"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-6%2F|title:6||""] [vc_btn title="" 8"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-8%2F|title:8||""][vc_btn title=""10"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-10%2F|title:10||""][vc_btn title=""12"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-12%2F|title:12||""][vc_btn title=""14"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-14%2F|title:14||""][vc_btn title=""16"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-16%2F|title:16||""][vc_btn title="" S"" size=""sm"" link=""url:https%3A%2F%2Fwww.juliaconfecciones.cl%2Fproducto%2Fdelantal-cuadrille-azul-talla-s%2F|title:S||""] [/vc_column][/vc_row]",delantal-cuadrille-azul-talla-8,2019-01-14 17:09:45,59008,Delantales Escolares,,13500,,,,no,taxable,Standard,,,,,,instock,no,no,,,Choose a grouped product...,post.php?post=2782&action=edit,,draft,search,,,no,no,-1,-1,,,,,yes,0,simple,https://www.juliaconfecciones.cl/?post_type=product&p=2782,,,,Felipe Villenas Cortez,8
