Colegio,Articulo,Descripcion
10,6002,Jockey colores c/logo
10,6003,Jockey colores s/logo
10,6102,Arreglos
10,6101,Bordado nombre
10,6103,Gorro lana azul marino c/logo
10,6104,Gorro lana azul marino s/logo
10,6106,Guantes de Lana
10,6107,Basta Buzo
10,6108,Huinchas 5 nombres
10,6109,Huincahs 10 Nombres
10,6110,Basta y Apitillado
10,6112,Cuello polar c/logo
10,6113,Cuello polar sin logo
10,6114,Basta falda a mano
10,6115,Basta falda a maquina
10,7801,Gorro lana rojo c/logo
10,9701,Bolsa kinder verde
10,9702,Bolsa kinder morada
10,9703,Bolsa kinder amarilla
10,9704,Bolsa kinder azul
10,6111,Bordado espalda
10,6116,Basta a mano pantalon de vestir
10,6105,Bordado logo
10,6117,Poleras pique empresas
1,11,Polera Azul Manga Corta
1,12,Polera Azul Manga Larga
1,13,Polera Gris Manga Corta
1,14,Polera Gris Manga Larga
1,15,Polerón Azul
1,16,Polerón Gris
1,22,Parka
1,23,Pantalón Buzo
1,24,Chaqueta Buzo
1,60,Bolsita Kinder
2,90,Buzo Deportivo
2,91,Polera Pique
2,92,Polera Polo
2,93,Pantalón Buzo
2,94,Chaqueta Buzo
2,95,Delantal Celeste
3,40,Buzo Deportivo
3,41,Polera Azul MC
3,43,Polera Blanca MC
3,44,Polera blanca ML
3,45,Cotona Verde
3,46,Delantal Cuadrille Verde
3,47,Falda Escosesa
3,48,Pantalón Buzo
3,49,Chaqueta Buzo
4,67,Delantal
4,68,Buzo Deportivo
4,69,Pantalón Buzo
4,70,Chaqueta Buzo
4,71,Polera MC
4,72,Polera ML
4,73,Cotona
4,74,Polar Rojo
4,75,Calza Corta
4,76,Calza Larga
4,77,Short
4,78,Parka Ciecc
4,79,Bolsita Kinder
5,26,Buzo
5,27,Chaqueta
5,28,Pantalón Buzo
5,29,Polera MC
5,30,Polera ML
5,31,Polar
5,32,Delantal
5,33,Cotona
5,34,Calza Corta
5,35,Calza Larga
6,80,Buzo
6,80,Buzo Deportivo
6,81,Polera MC
6,82,Polera ML
6,83,Pantalón Buzo
6,84,Polerón Buzo
6,85,Delantal
6,86,Cotona
6,88,calza
6,89,calza larga
7,17,Calza caorta azul marino
7,18,Calza Larga azul marino
7,20,Delantal Cuadrillé Rojo
7,21,Falda Gris
7,25,Cotona Beige
7,35,Calza corta Gris
7,36,Calza larga Gris
7,60,Pantalón Casimir Niña
7,63,Pantalón Casimir varón
7,64,Polar azul Marino
7,65,Polar colores
7,66,Cotona Cuadrille verde
8,100,Buzo
8,101,Chaqueta
8,106,Cotona
8,105,Delantal
8,102,Pantalón
8,103,Polera 
8,104,Polera Piqué
8,107,Polerón
9,31,Polera Manga Corta
9,32,Polera Manga Larga
9,33,Pantalón
9,34,Polerón
9,37,Polar
9,38,Parka
9,41,Polera Manga Corta
9,42,Polera Manga Larga
9,43,Pantalón
9,44,Polerón
6,36,Short
1,191,Short niña
1,19,Short
1,324,Chaqueta buzo N
1,315,Poleron canguro azul marino
9,47,Polar
9,48,Parka
2,9700,Bolsita azul marino 40 x40
2,9704,Bolsita azul marino Kinder 25 x25
7,590,Delantal Azul
7,970,Delantal Blanco
7,980,Cotona Blanca
7,580,Falda Azul marino
7,591,Delantal Azul Rey
2,97,Parkas
1,323,Pantalon Buzo N
1,319,Short N
1,313,Polera deporte 
