Nro_doc,fecha,Item,Codigo,Cantidad,Precio,Estado_reg
5029.0,2023-02-01 00:00:00,1.0,9312,1,13600,V
5030.0,2023-02-02 00:00:00,1.0,10006,1,24900,V
5030.0,2023-02-02 00:00:00,2.0,8106,2,10000,V
5031.0,2023-02-02 00:00:00,1.0,1512,1,17600,V
5031.0,2023-02-02 00:00:00,2.0,2212,1,29500,V
5032.0,2023-02-02 00:00:00,1.0,1004,2,26100,V
5032.0,2023-02-02 00:00:00,2.0,1104,2,12500,V
5032.0,2023-02-02 00:00:00,3.0,1304,1,8500,V
5032.0,2023-02-02 00:00:00,4.0,1706,1,7400,V
5032.0,2023-02-02 00:00:00,5.0,2206,1,27200,V
5032.0,2023-02-02 00:00:00,6.0,6001,1,5700,V
5032.0,2023-02-02 00:00:00,7.0,98006,1,10800,V
5032.0,2023-02-02 00:00:00,8.0,6109,1,7000,V
5033.0,2023-02-02 00:00:00,1.0,2704,1,14200,V
5033.0,2023-02-02 00:00:00,2.0,2904,2,10800,V
5034.0,2023-02-02 00:00:00,1.0,1108,1,13600,V
5034.0,2023-02-02 00:00:00,2.0,2306,1,12500,V
5034.0,2023-02-02 00:00:00,3.0,1708,1,7900,V
5035.0,2023-02-02 00:00:00,1.0,2320,1,16400,V
5035.0,2023-02-02 00:00:00,2.0,1120,1,16400,V
5035.0,2023-02-02 00:00:00,3.0,1318,1,11100,V
5035.0,2023-02-02 00:00:00,4.0,1720,1,10200,V
5036.0,2023-02-02 00:00:00,1.0,9106,2,13000,V
5037.0,2023-02-02 00:00:00,1.0,1014,1,28900,V
5037.0,2023-02-02 00:00:00,2.0,1314,1,10800,V
5037.0,2023-02-02 00:00:00,3.0,1114,1,15300,V
5037.0,2023-02-02 00:00:00,4.0,1514,1,18100,V
5037.0,2023-02-02 00:00:00,5.0,1614,1,18100,V
5038.0,2023-02-02 00:00:00,1.0,1516,1,18700,V
5038.0,2023-02-02 00:00:00,2.0,1116,1,15900,V
5038.0,2023-02-02 00:00:00,3.0,1316,2,10800,V
5039.0,2023-02-02 00:00:00,1.0,2310,1,13600,V
5039.0,2023-02-02 00:00:00,2.0,1712,1,8500,V
5039.0,2023-02-02 00:00:00,3.0,97012,2,12500,V
5040.0,2023-02-02 00:00:00,1.0,51022,1,5000,V
5041.0,2023-02-02 00:00:00,1.0,1010,2,27800,V
5041.0,2023-02-02 00:00:00,2.0,1110,2,14200,V
5041.0,2023-02-02 00:00:00,3.0,1510,1,17000,V
5041.0,2023-02-02 00:00:00,4.0,1310,2,9600,V
5041.0,2023-02-02 00:00:00,5.0,1610,1,17000,V
28834.0,2021-11-09 00:00:00,1.0,6102,1,1500,V
28835.0,2021-11-09 00:00:00,1.0,1008,1,22500,V
28835.0,2021-11-09 00:00:00,2.0,1308,1,7000,V
28836.0,2021-11-09 00:00:00,1.0,9210,1,7500,V
28837.0,2021-11-09 00:00:00,1.0,1120,1,14500,V
28838.0,2021-11-09 00:00:00,1.0,6102,1,5000,V
28839.0,2021-11-09 00:00:00,1.0,1612,1,15500,V
28839.0,2021-11-09 00:00:00,2.0,8001,1,5000,V
28840.0,2021-11-10 00:00:00,1.0,1316,1,8500,V
28841.0,2021-11-10 00:00:00,1.0,1120,1,14500,V
28841.0,2021-11-10 00:00:00,2.0,2322,1,14500,V
28842.0,2021-11-11 00:00:00,1.0,1116,1,13500,V
28842.0,2021-11-11 00:00:00,2.0,2314,1,13500,V
28843.0,2021-11-11 00:00:00,1.0,1914,1,9000,V
28843.0,2021-11-11 00:00:00,2.0,1312,1,8000,V
28844.0,2021-11-11 00:00:00,1.0,1122,1,14500,V
28846.0,2021-11-11 00:00:00,1.0,2324,1,14500,V
28847.0,2021-11-12 00:00:00,1.0,1118,1,14000,V
28848.0,2021-11-12 00:00:00,1.0,2120,1,16800,V
28848.0,2021-11-12 00:00:00,2.0,2322,1,14500,V
28849.0,2021-11-15 00:00:00,1.0,1120,1,14500,V
28849.0,2021-11-15 00:00:00,2.0,2120,1,16800,V
28850.0,2021-11-08 00:00:00,1.0,6102,1,10000,V
28853.0,2021-11-15 00:00:00,1.0,1906,1,8500,V
28853.0,2021-11-15 00:00:00,2.0,1306,1,7000,V
28854.0,2021-11-16 00:00:00,1.0,33010,1,13500,V
28854.0,2021-11-16 00:00:00,2.0,31002,1,5000,V
28855.0,2021-11-16 00:00:00,1.0,2308,1,11000,V
28855.0,2021-11-16 00:00:00,2.0,1308,1,7500,V
28855.0,2021-11-16 00:00:00,3.0,1710,1,6800,V
28855.0,2021-11-16 00:00:00,4.0,1316,1,8500,V
28855.0,2021-11-16 00:00:00,5.0,1720,1,8000,V
28855.0,2021-11-16 00:00:00,6.0,2316,1,13500,V
28856.0,2021-11-16 00:00:00,1.0,6102,1,2000,V
28857.0,2021-11-17 00:00:00,1.0,1718,1,8000,V
28858.0,2021-11-17 00:00:00,1.0,6102,1,4000,V
28859.0,2021-11-17 00:00:00,1.0,6102,1,3000,V
28701.0,2021-10-08 00:00:00,1.0,6102,1,4800,V
28701.0,2021-10-08 00:00:00,2.0,2320,1,14000,V
28702.0,2021-10-08 00:00:00,1.0,1016,1,25500,V
28702.0,2021-10-08 00:00:00,2.0,1316,1,7500,V
28702.0,2021-10-08 00:00:00,3.0,1314,1,8500,V
28702.0,2021-10-08 00:00:00,4.0,1616,1,15000,V
28704.0,2021-10-08 00:00:00,1.0,2312,1,12000,V
28705.0,2021-10-12 00:00:00,1.0,4010,1,21500,V
28706.0,2021-10-12 00:00:00,1.0,4012,1,22000,V
28707.0,2021-10-12 00:00:00,1.0,1314,1,7500,V
28708.0,2021-10-12 00:00:00,1.0,1312,2,7000,V
28708.0,2021-10-12 00:00:00,2.0,2312,1,12000,V
28708.0,2021-10-12 00:00:00,3.0,2414,1,14200,V
28708.0,2021-10-12 00:00:00,4.0,1612,1,14200,V
28709.0,2021-10-12 00:00:00,1.0,2408,1,13000,V
28710.0,2021-10-12 00:00:00,1.0,4112,2,7000,V
28711.0,2021-10-12 00:00:00,1.0,6102,1,4000,V
28713.0,2021-10-12 00:00:00,1.0,1312,1,7000,V
28714.0,2021-10-12 00:00:00,1.0,1318,1,8000,V
28714.0,2021-10-12 00:00:00,2.0,1018,1,26500,V
28714.0,2021-10-12 00:00:00,3.0,1618,1,15800,V
28715.0,2021-10-12 00:00:00,1.0,6102,1,4000,V
28716.0,2021-10-12 00:00:00,1.0,1922,1,8800,V
28851.0,2021-11-15 00:00:00,1.0,2312,1,12500,V
28860.0,2021-11-17 00:00:00,1.0,1318,1,8800,V
28717.0,2021-10-12 00:00:00,1.0,1314,1,7500,V
28718.0,2021-10-13 00:00:00,1.0,4120,1,7800,V
28718.0,2021-10-13 00:00:00,2.0,4114,1,6500,V
28718.0,2021-10-13 00:00:00,3.0,4108,1,6500,V
28719.0,2021-10-13 00:00:00,1.0,1308,1,7500,V
28720.0,2021-10-13 00:00:00,1.0,6102,1,2000,V
28721.0,2021-10-13 00:00:00,1.0,1112,1,10800,V
28722.0,2021-10-13 00:00:00,1.0,6102,1,13500,V
28724.0,2021-10-13 00:00:00,1.0,1016,1,25500,V
28724.0,2021-10-13 00:00:00,2.0,1118,1,12000,V
28725.0,2021-10-13 00:00:00,1.0,6102,1,6000,V
28726.0,2021-10-13 00:00:00,1.0,6102,1,4000,V
28727.0,2021-10-13 00:00:00,1.0,2318,1,13500,V
28727.0,2021-10-13 00:00:00,2.0,1118,1,12000,V
28727.0,2021-10-13 00:00:00,3.0,1316,1,7500,V
28728.0,2021-10-15 00:00:00,1.0,2310,1,11500,V
28730.0,2021-10-15 00:00:00,1.0,1322,1,8000,V
28732.0,2021-10-15 00:00:00,1.0,1320,2,8000,V
28733.0,2021-10-15 00:00:00,1.0,1612,1,14200,V
28734.0,2021-10-15 00:00:00,1.0,1310,1,7500,V
28735.0,2021-10-18 00:00:00,1.0,2320,1,14000,V
28736.0,2021-10-18 00:00:00,1.0,1014,1,24500,V
28736.0,2021-10-18 00:00:00,2.0,1312,1,7000,V
28737.0,2021-10-18 00:00:00,1.0,1920,1,10800,V
28737.0,2021-10-18 00:00:00,2.0,1310,1,7000,V
28739.0,2021-10-19 00:00:00,1.0,1916,1,8300,V
28739.0,2021-10-19 00:00:00,2.0,1108,1,9500,V
28739.0,2021-10-19 00:00:00,3.0,1316,1,7500,V
28739.0,2021-10-19 00:00:00,4.0,1116,1,12000,V
28741.0,2021-10-19 00:00:00,1.0,6102,1,12800,V
28742.0,2021-10-19 00:00:00,1.0,2310,1,11500,V
28743.0,2021-10-19 00:00:00,1.0,6102,1,9600,V
28744.0,2021-10-19 00:00:00,1.0,6102,1,4000,V
28745.0,2021-10-19 00:00:00,1.0,53018,1,10800,V
28745.0,2021-10-19 00:00:00,2.0,50016,1,10000,V
28746.0,2021-10-19 00:00:00,1.0,2312,2,12000,V
28746.0,2021-10-19 00:00:00,2.0,1912,1,8500,V
28748.0,2021-10-19 00:00:00,1.0,2324,1,14500,V
28748.0,2021-10-19 00:00:00,2.0,1312,2,8000,V
28748.0,2021-10-19 00:00:00,3.0,1324,2,10000,V
28748.0,2021-10-19 00:00:00,4.0,1624,1,18000,V
28748.0,2021-10-19 00:00:00,5.0,2312,1,12000,V
28750.0,2021-10-20 00:00:00,1.0,1920,1,10800,V
28750.0,2021-10-20 00:00:00,2.0,1120,1,14000,V
28651.0,2021-10-20 00:00:00,1.0,9316,2,12200,V
28653.0,2021-10-01 00:00:00,1.0,9212,2,5800,V
28654.0,2021-10-01 00:00:00,1.0,1116,1,11500,V
28654.0,2021-10-01 00:00:00,2.0,1316,2,7000,V
28657.0,2021-10-04 00:00:00,1.0,1310,2,7000,V
28658.0,2021-10-04 00:00:00,1.0,9306,1,9800,V
28658.0,2021-10-04 00:00:00,2.0,9208,2,7000,V
28659.0,2021-10-04 00:00:00,1.0,1318,2,8000,V
28659.0,2021-10-04 00:00:00,2.0,2316,1,13500,V
28659.0,2021-10-04 00:00:00,3.0,1618,1,16800,V
28659.0,2021-10-04 00:00:00,4.0,6102,1,10000,V
28660.0,2021-10-04 00:00:00,1.0,1008,1,22000,V
28660.0,2021-10-04 00:00:00,2.0,1308,1,6500,V
28661.0,2021-10-04 00:00:00,2.0,1314,1,7500,V
28661.0,2021-10-04 00:00:00,3.0,1316,1,7500,V
28665.0,2021-10-04 00:00:00,1.0,1314,2,7500,V
28673.0,2021-10-04 00:00:00,1.0,1718,1,10000,V
28611.0,2021-09-27 00:00:00,1.0,98012,1,10800,V
28667.0,2021-10-04 00:00:00,1.0,50010,1,10000,V
28668.0,2021-11-18 00:00:00,1.0,1316,2,7500,V
28668.0,2021-11-18 00:00:00,2.0,1616,1,15000,V
28668.0,2021-11-18 00:00:00,3.0,2316,1,12500,V
28668.0,2021-11-18 00:00:00,4.0,6002,1,5000,V
28670.0,2021-11-18 00:00:00,1.0,1318,2,8000,V
28670.0,2021-11-18 00:00:00,2.0,1620,1,15800,V
28670.0,2021-11-18 00:00:00,3.0,1618,1,13500,V
28674.0,2021-10-04 00:00:00,1.0,6102,2,4000,V
28676.0,2021-10-04 00:00:00,1.0,6102,1,10000,V
28680.0,2021-10-06 00:00:00,1.0,1318,1,8000,V
28681.0,2021-10-06 00:00:00,1.0,2308,2,11000,V
28682.0,2021-10-06 00:00:00,1.0,2316,1,12500,V
28682.0,2021-10-06 00:00:00,2.0,2320,1,14000,V
28682.0,2021-10-06 00:00:00,3.0,6320,1,15800,V
28682.0,2021-10-06 00:00:00,4.0,1316,1,7500,V
28683.0,2021-10-06 00:00:00,1.0,1010,1,22500,V
28683.0,2021-10-06 00:00:00,2.0,1310,1,7000,V
28684.0,2021-10-06 00:00:00,1.0,1310,1,7000,V
28684.0,2021-10-06 00:00:00,2.0,6002,1,4000,V
28686.0,2021-10-06 00:00:00,1.0,2510,1,8500,V
28686.0,2021-10-06 00:00:00,2.0,2506,1,8000,V
28688.0,2021-10-06 00:00:00,1.0,6102,1,4000,V
28689.0,2021-10-06 00:00:00,1.0,2320,1,14000,V
28689.0,2021-10-06 00:00:00,2.0,1320,1,8000,V
28690.0,2021-10-06 00:00:00,1.0,2118,1,16800,V
28690.0,2021-10-06 00:00:00,2.0,2322,1,14500,V
28690.0,2021-10-06 00:00:00,3.0,1922,1,10800,V
28691.0,2021-10-06 00:00:00,1.0,2324,1,14500,V
28691.0,2021-10-06 00:00:00,2.0,1320,1,8000,V
28691.0,2021-10-06 00:00:00,3.0,1316,1,7500,V
28692.0,2021-10-06 00:00:00,1.0,1314,1,7500,V
28692.0,2021-10-06 00:00:00,2.0,1114,1,11200,V
28693.0,2021-10-06 00:00:00,1.0,2316,1,13500,V
28693.0,2021-10-06 00:00:00,2.0,1618,1,15800,V
28693.0,2021-10-06 00:00:00,3.0,1316,1,8000,V
28694.0,2021-10-07 00:00:00,1.0,1920,1,10800,V
28695.0,2021-10-07 00:00:00,1.0,6102,1,10000,V
28696.0,2021-10-07 00:00:00,1.0,2420,1,15800,V
28696.0,2021-10-07 00:00:00,2.0,2318,1,13500,V
28696.0,2021-10-07 00:00:00,3.0,1318,1,8000,V
28697.0,2021-11-08 00:00:00,1.0,6102,2,4000,V
28698.0,2021-11-08 00:00:00,1.0,1110,1,9900,V
28601.0,2021-11-08 00:00:00,1.0,1610,1,13800,V
28601.0,2021-11-08 00:00:00,2.0,1310,1,6200,V
28601.0,2021-11-08 00:00:00,3.0,2308,1,11000,V
28602.0,2021-09-24 00:00:00,1.0,1314,1,6500,V
28602.0,2021-09-24 00:00:00,2.0,1616,1,15000,V
28603.0,2021-09-24 00:00:00,1.0,6102,1,4000,V
28604.0,2021-09-24 00:00:00,1.0,1014,1,24500,V
28604.0,2021-09-24 00:00:00,2.0,1314,1,6500,V
28605.0,2021-09-24 00:00:00,1.0,2306,1,10400,V
28605.0,2021-09-24 00:00:00,2.0,1608,1,13400,V
28605.0,2021-09-24 00:00:00,3.0,1308,1,6000,V
28608.0,2021-09-27 00:00:00,1.0,1120,1,12500,V
28608.0,2021-09-27 00:00:00,2.0,1520,1,15800,V
28609.0,2021-09-27 00:00:00,1.0,51010,2,8800,V
28610.0,2021-09-27 00:00:00,1.0,9410,1,13800,V
28612.0,2021-09-27 00:00:00,1.0,1012,1,23500,V
28612.0,2021-09-27 00:00:00,2.0,1314,1,6500,V
28621.0,2021-11-22 00:00:00,1.0,6102,1,1000,V
28622.0,2021-09-28 00:00:00,1.0,9206,1,5800,V
4.0,2021-10-10 00:00:00,1.0,10040,5,0,V
90890.0,,1.0,1004,1,22000,V
90890.0,,2.0,1308,1,7500,V
34567.0,,1.0,1004,1,22000,V
3.0,2021-10-27 00:00:00,1.0,1206,3,12500,V
28806.0,2021-11-02 00:00:00,1.0,1310,1,7500,V
28807.0,2021-11-03 00:00:00,1.0,1624,1,18000,V
28808.0,2021-11-02 00:00:00,1.0,6102,1,4000,V
28801.0,2021-11-02 00:00:00,1.0,2314,1,12500,V
28802.0,2021-11-02 00:00:00,1.0,1010,1,23500,V
28802.0,2021-11-02 00:00:00,2.0,6002,1,5000,V
28803.0,2021-11-02 00:00:00,1.0,2308,1,11500,V
28804.0,2021-11-02 00:00:00,1.0,6326,1,18500,V
28805.0,2021-11-02 00:00:00,1.0,6326,1,20000,V
28809.0,2021-11-03 00:00:00,1.0,2316,1,13500,V
28809.0,2021-11-03 00:00:00,2.0,1218,1,15500,V
28810.0,2021-11-03 00:00:00,1.0,9212,1,7500,V
28811.0,2021-11-03 00:00:00,1.0,1122,1,14500,V
28811.0,2021-11-03 00:00:00,2.0,1120,1,14500,V
28813.0,2021-11-03 00:00:00,1.0,6326,1,20500,V
28814.0,2021-11-03 00:00:00,1.0,2114,1,16800,V
28815.0,2021-11-16 00:00:00,1.0,6102,1,1500,V
28816.0,2021-11-03 00:00:00,1.0,98022,1,18000,V
28817.0,2021-11-03 00:00:00,1.0,2308,1,11000,V
28817.0,2021-11-03 00:00:00,2.0,6002,1,5000,V
28818.0,2021-11-04 00:00:00,1.0,1312,1,8000,V
28818.0,2021-11-04 00:00:00,2.0,2310,1,11500,V
28819.0,2021-11-04 00:00:00,1.0,1310,1,7500,V
28819.0,2021-11-04 00:00:00,2.0,6002,1,5000,V
28820.0,2021-11-04 00:00:00,1.0,1312,1,8000,V
28821.0,2021-11-04 00:00:00,1.0,2114,1,16000,V
28822.0,2021-11-04 00:00:00,1.0,6102,1,6000,V
28825.0,2021-11-05 00:00:00,1.0,6102,2,4000,V
28826.0,2021-11-05 00:00:00,1.0,2118,1,16800,V
28827.0,2021-11-05 00:00:00,1.0,6102,1,5000,V
28830.0,2021-11-08 00:00:00,1.0,1918,1,9500,V
28830.0,2021-11-08 00:00:00,2.0,1620,1,17000,V
28830.0,2021-11-08 00:00:00,3.0,1520,1,14000,V
28830.0,2021-11-08 00:00:00,4.0,1318,1,8800,V
28831.0,2021-11-08 00:00:00,1.0,6102,1,3500,V
28832.0,2021-11-08 00:00:00,1.0,51022,1,11800,V
28833.0,2021-11-09 00:00:00,1.0,6102,1,5000,V
28665.0,2021-10-04 00:00:00,2.0,2414,1,14200,V
28614.0,2021-09-27 00:00:00,1.0,2320,1,13800,V
28614.0,2021-09-27 00:00:00,2.0,1320,1,7800,V
28615.0,2021-09-27 00:00:00,1.0,1316,1,7000,V
28616.0,2021-09-27 00:00:00,1.0,6102,1,7500,V
28617.0,2021-09-27 00:00:00,1.0,6102,1,7000,V
28618.0,2021-09-27 00:00:00,1.0,1312,2,6500,V
28623.0,2021-11-22 00:00:00,1.0,2308,2,11500,V
28623.0,2021-11-22 00:00:00,2.0,2314,1,12500,V
28623.0,2021-11-22 00:00:00,3.0,2318,1,13200,V
28624.0,2021-09-28 00:00:00,1.0,1924,1,10300,V
28625.0,2021-09-28 00:00:00,1.0,1008,2,21500,V
28625.0,2021-09-28 00:00:00,2.0,1308,3,6000,V
28625.0,2021-09-28 00:00:00,3.0,6002,1,4000,V
28626.0,2021-09-28 00:00:00,1.0,4816,1,10800,V
28626.0,2021-09-28 00:00:00,2.0,4116,1,7000,V
28627.0,2021-09-28 00:00:00,1.0,6102,1,2500,V
28628.0,2021-09-27 00:00:00,1.0,6102,2,4000,V
28629.0,2021-09-29 00:00:00,1.0,1306,1,7000,V
28630.0,2021-09-29 00:00:00,1.0,6102,1,7000,V
28631.0,2021-11-24 00:00:00,1.0,1820,1,9800,V
286322.0,2021-09-29 00:00:00,1.0,1920,1,8800,V
28640.0,2021-11-24 00:00:00,1.0,1014,2,24500,V
28640.0,2021-11-24 00:00:00,2.0,1314,1,6500,V
28641.0,2021-09-30 00:00:00,1.0,9006,1,19000,V
28641.0,2021-09-30 00:00:00,2.0,6102,1,4000,V
28641.0,2021-09-30 00:00:00,3.0,9216,2,8500,V
28643.0,2021-09-29 00:00:00,1.0,2312,1,11900,V
28643.0,2021-09-29 00:00:00,2.0,1314,1,6500,V
28643.0,2021-09-29 00:00:00,3.0,1506,1,8000,V
28645.0,2021-09-30 00:00:00,1.0,2320,1,13800,V
28645.0,2021-09-30 00:00:00,2.0,1320,1,7800,V
28645.0,2021-09-30 00:00:00,3.0,1920,1,8800,V
28645.0,2021-09-30 00:00:00,4.0,1520,1,16800,V
28646.0,2021-11-24 00:00:00,1.0,6102,1,3000,V
28647.0,2021-10-01 00:00:00,1.0,6102,1,4000,V
28648.0,2021-10-01 00:00:00,1.0,6102,2,4000,V
28649.0,2021-10-01 00:00:00,1.0,6102,2,4000,V
28650.0,2021-10-01 00:00:00,1.0,6102,3,4000,V
28551.0,2021-09-16 00:00:00,1.0,50016,1,10000,V
28551.0,2021-09-16 00:00:00,2.0,50020,1,10000,V
28551.0,2021-09-16 00:00:00,3.0,53018,4,9000,V
285552.0,2021-09-17 00:00:00,1.0,1018,1,26500,V
285552.0,2021-09-17 00:00:00,2.0,1320,2,7800,V
285552.0,2021-09-17 00:00:00,3.0,1120,1,13500,V
285552.0,2021-09-17 00:00:00,4.0,6320,1,15000,V
28553.0,2021-09-17 00:00:00,1.0,2308,3,11000,V
28553.0,2021-09-17 00:00:00,2.0,1908,1,6800,V
28553.0,2021-09-17 00:00:00,3.0,1522,1,16800,V
28554.0,2021-09-17 00:00:00,1.0,1516,1,16800,V
28556.0,2021-09-17 00:00:00,1.0,50020,1,10000,V
28556.0,2021-09-17 00:00:00,2.0,50014,1,10000,V
28556.0,2021-09-17 00:00:00,3.0,53014,1,8300,V
28556.0,2021-09-17 00:00:00,4.0,53020,1,9300,V
28558.0,2021-09-20 00:00:00,1.0,1308,2,6000,V
28559.0,2021-09-20 00:00:00,1.0,9020,1,25500,V
28559.0,2021-09-20 00:00:00,2.0,9320,1,15800,V
28559.0,2021-09-20 00:00:00,3.0,9318,1,12800,V
28559.0,2021-09-20 00:00:00,4.0,9118,1,11000,V
28560.0,2021-09-20 00:00:00,1.0,9114,1,8300,V
28563.0,2021-09-20 00:00:00,1.0,1712,2,5700,V
28564.0,2021-09-20 00:00:00,1.0,9304,1,9800,V
29034.0,2021-12-28 00:00:00,1.0,2312,2,12500,V
28565.0,2021-09-20 00:00:00,1.0,1314,1,6500,V
28566.0,2021-09-20 00:00:00,1.0,1610,1,13800,V
28566.0,2021-09-20 00:00:00,2.0,1614,1,14800,V
