Documento,codigo,fecha,stock,Origen,Tipo_mov
0,1004,2021-10-26 00:00:00,10,,
1,10041,2021-10-15 00:00:00,2,,
5,1004,2021-08-04 00:00:00,15,,
2,1004,2021-10-05 00:00:00,-1,,
142144,2122,2022-09-23 00:00:00,3,,
142144,2120,2022-09-23 00:00:00,3,,
142144,2114,2022-09-23 00:00:00,3,,
142144,2110,2022-09-23 00:00:00,3,,
142144,2112,2022-09-23 00:00:00,3,,
142144,2116,2022-09-23 00:00:00,3,,
142144,97016,2022-09-23 00:00:00,10,,
142144,97014,2022-09-23 00:00:00,10,,
142144,98016,2022-09-23 00:00:00,10,,
142144,98008,2022-09-23 00:00:00,10,,
142144,97012,2022-09-23 00:00:00,10,,
142144,97008,2022-09-23 00:00:00,10,,
142144,98006,2022-09-23 00:00:00,10,,
142144,97006,2022-09-23 00:00:00,10,,
0,6003,2022-10-06 00:00:00,50,,
377718,9222,2023-02-13 00:00:00,30,,
377718,9224,2023-02-13 00:00:00,30,,
128,2316,2023-02-14 00:00:00,20,,
128,2318,2023-02-14 00:00:00,20,,
128,2308,2023-02-14 00:00:00,10,,
130,1118,2023-02-25 00:00:00,6,,
130,1112,2023-02-25 00:00:00,4,,
2,9700,2023-02-25 00:00:00,7,,
130,1114,2023-02-26 00:00:00,10,,
60662,6002,2023-03-02 00:00:00,10,,
60662,6422,2023-03-02 00:00:00,10,,
60662,6420,2023-03-02 00:00:00,10,,
60662,4108,2023-03-02 00:00:00,10,,
60662,4110,2023-03-02 00:00:00,10,,
60662,9208,2023-03-02 00:00:00,10,,
60662,9210,2023-03-02 00:00:00,10,,
60662,9212,2023-03-02 00:00:00,30,,
380433,1310,2023-03-02 00:00:00,29,,
380416,1306,2023-03-02 00:00:00,30,,
380416,9218,2023-03-02 00:00:00,30,,
380416,9220,2023-03-02 00:00:00,30,,
380416,9226,2023-03-02 00:00:00,10,,
380416,1326,2023-03-02 00:00:00,10,,
380416,4118,2023-03-02 00:00:00,20,,
380416,4120,2023-03-02 00:00:00,20,,
380416,9214,2023-03-02 00:00:00,20,,
380416,1312,2023-03-02 00:00:00,30,,
380416,1316,2023-03-02 00:00:00,20,,
125,9004,2023-02-14 00:00:00,10,,
125,9008,2023-02-14 00:00:00,6,,
125,9010,2023-02-14 00:00:00,6,,
125,9012,2023-02-14 00:00:00,6,,
125,9014,2023-02-14 00:00:00,6,,
126,9304,2023-02-14 00:00:00,6,,
126,9316,2023-02-14 00:00:00,6,,
126,9314,2023-02-14 00:00:00,6,,
126,9318,2023-02-14 00:00:00,6,,
127,1014,2023-02-14 00:00:00,20,,
127,1018,2023-02-14 00:00:00,10,,
127,1008,2023-02-14 00:00:00,10,,
127,1010,2023-02-14 00:00:00,10,,
127,1012,2023-02-14 00:00:00,10,,
128,2316,2023-02-15 00:00:00,20,,
128,2318,2023-02-15 00:00:00,20,,
128,2308,2023-02-15 00:00:00,10,,
129,9108,2023-02-21 00:00:00,4,,
129,9110,2023-02-21 00:00:00,4,,
129,9112,2023-02-21 00:00:00,4,,
129,9114,2023-02-21 00:00:00,10,,
129,9116,2023-02-21 00:00:00,10,,
129,9118,2023-02-21 00:00:00,10,,
129,9120,2023-02-21 00:00:00,10,,
129,9122,2023-02-21 00:00:00,10,,
130,2322,2023-02-24 00:00:00,6,,
130,1118,2023-02-24 00:00:00,24,,
130,1112,2023-02-24 00:00:00,16,,
130,1116,2023-02-24 00:00:00,20,,
130,1114,2023-02-24 00:00:00,16,,
131,4008,2023-02-24 00:00:00,10,,
131,4014,2023-02-24 00:00:00,10,,
131,4016,2023-02-24 00:00:00,10,,
131,4020,2023-02-24 00:00:00,10,,
132,8004,2023-03-01 00:00:00,6,,
132,8006,2023-03-01 00:00:00,6,,
134,9006,2023-03-13 00:00:00,5,,
134,9012,2023-03-13 00:00:00,5,,
134,9306,2023-03-13 00:00:00,10,,
134,9318,2023-03-13 00:00:00,10,,
134,9320,2023-03-13 00:00:00,10,,
134,4012,2023-03-13 00:00:00,2,,
134,4010,2023-03-13 00:00:00,2,,
137,1112,2023-03-13 00:00:00,24,,
137,1114,2023-03-13 00:00:00,24,,
137,1118,2023-03-13 00:00:00,16,,
138,1706,2023-03-13 00:00:00,22,,
138,1708,2023-03-13 00:00:00,21,,
138,1710,2023-03-13 00:00:00,21,,
138,1718,2023-03-13 00:00:00,25,,
139,10006,2023-03-17 00:00:00,3,,
139,10003,2023-03-17 00:00:00,3,,
139,10004,2023-03-17 00:00:00,3,,
139,10008,2023-03-17 00:00:00,8,,
139,10203,2023-03-17 00:00:00,1,,
139,10204,2023-03-17 00:00:00,1,,
139,10206,2023-03-17 00:00:00,1,,
140,1004,2023-03-16 00:00:00,10,,
140,2310,2023-03-16 00:00:00,30,,
140,2320,2023-03-16 00:00:00,30,,
142,2314,2023-03-20 00:00:00,30,,
143,1510,2023-03-21 00:00:00,11,,
143,1512,2023-03-21 00:00:00,11,,
143,1514,2023-03-21 00:00:00,11,,
143,1516,2023-03-21 00:00:00,11,,
144,2306,2023-03-23 00:00:00,20,,
144,2308,2023-03-23 00:00:00,20,,
144,2310,2023-03-23 00:00:00,20,,
146,4308,2023-03-23 00:00:00,13,,
146,4310,2023-03-23 00:00:00,13,,
146,4312,2023-03-23 00:00:00,13,,
146,4314,2023-03-23 00:00:00,13,,
146,4316,2023-03-23 00:00:00,13,,
146,4318,2023-03-23 00:00:00,13,,
147,2316,2023-03-27 00:00:00,20,,
147,2318,2023-03-27 00:00:00,20,,
148,10308,2023-03-27 00:00:00,8,,
148,10306,2023-03-27 00:00:00,8,,
148,10304,2023-03-27 00:00:00,7,,
148,9700,2023-03-27 00:00:00,22,,
150,1110,2023-03-24 00:00:00,28,,
150,1120,2023-03-24 00:00:00,8,,
150,1116,2023-03-24 00:00:00,6,,
192,8504,2023-03-30 00:00:00,10,,
192,8604,2023-03-30 00:00:00,10,,
194,19114,2023-04-04 00:00:00,10,,
194,19116,2023-04-04 00:00:00,10,,
194,19118,2023-04-04 00:00:00,10,,
194,19120,2023-04-04 00:00:00,10,,
194,19122,2023-04-04 00:00:00,10,,
194,1912,2023-04-04 00:00:00,12,,
194,1914,2023-04-04 00:00:00,12,,
