codigo,fecha,stock
9004,2022-07-19 00:00:00,0
9006,2022-07-19 00:00:00,11
9008,2022-07-19 00:00:00,10
9010,2022-07-19 00:00:00,10
9012,2022-07-19 00:00:00,10
9014,2022-07-19 00:00:00,10
9016,2022-07-19 00:00:00,10
9018,2022-07-19 00:00:00,16
9020,2022-07-19 00:00:00,10
9022,2022-07-19 00:00:00,10
9024,2022-07-19 00:00:00,4
9026,2022-07-19 00:00:00,0
9304,2022-07-21 00:00:00,6
9306,2022-07-21 00:00:00,0
9308,2022-07-21 00:00:00,3
9310,2022-07-21 00:00:00,8
9312,2022-07-21 00:00:00,9
9314,2022-07-21 00:00:00,0
9316,2022-07-21 00:00:00,0
9318,2022-07-21 00:00:00,0
9320,2022-07-21 00:00:00,0
9322,2022-07-21 00:00:00,0
9324,2022-07-21 00:00:00,0
9326,2022-07-21 00:00:00,0
9404,2022-07-21 00:00:00,0
9406,2022-07-21 00:00:00,3
9408,2022-07-21 00:00:00,0
9416,2022-07-21 00:00:00,2
9418,2022-07-21 00:00:00,3
9420,2022-07-21 00:00:00,4
9422,2022-07-21 00:00:00,1
4004,2022-07-19 00:00:00,13
4104,2022-07-19 00:00:00,17
4106,2022-07-19 00:00:00,39
4108,2022-07-19 00:00:00,27
4110,2022-07-19 00:00:00,39
4112,2022-07-19 00:00:00,16
4114,2022-07-19 00:00:00,30
4116,2022-07-19 00:00:00,20
4118,2022-07-19 00:00:00,30
4120,2022-07-19 00:00:00,23
4122,2022-07-19 00:00:00,41
4124,2022-07-19 00:00:00,1
4304,2022-07-19 00:00:00,1
4306,2022-07-19 00:00:00,14
4308,2022-07-19 00:00:00,10
4310,2022-07-19 00:00:00,5
4312,2022-07-19 00:00:00,4
4314,2022-07-19 00:00:00,10
4316,2022-07-19 00:00:00,3
4318,2022-07-19 00:00:00,3
4320,2022-07-19 00:00:00,8
4322,2022-07-19 00:00:00,7
4404,2022-07-19 00:00:00,5
4420,2022-07-19 00:00:00,1
4006,2022-07-19 00:00:00,6
4008,2022-07-19 00:00:00,13
4010,2022-07-19 00:00:00,17
4012,2022-07-19 00:00:00,4
4014,2022-07-19 00:00:00,6
4016,2022-07-19 00:00:00,11
4018,2022-07-19 00:00:00,10
4020,2022-07-19 00:00:00,6
4022,2022-07-19 00:00:00,8
9104,2022-07-19 00:00:00,18
9106,2022-07-19 00:00:00,16
9108,2022-07-19 00:00:00,16
9110,2022-07-19 00:00:00,10
9112,2022-07-19 00:00:00,8
9114,2022-07-19 00:00:00,6
9116,2022-07-19 00:00:00,8
9118,2022-07-19 00:00:00,6
9120,2022-07-19 00:00:00,5
9122,2022-07-19 00:00:00,11
9124,2022-07-19 00:00:00,5
9204,2022-07-19 00:00:00,5
9206,2022-07-19 00:00:00,56
9208,2022-07-19 00:00:00,26
9210,2022-07-19 00:00:00,26
9212,2022-07-19 00:00:00,9
9214,2022-07-19 00:00:00,15
9216,2022-07-19 00:00:00,29
9218,2022-07-19 00:00:00,24
9220,2022-07-19 00:00:00,19
9222,2022-07-19 00:00:00,3
9224,2022-07-19 00:00:00,3
4804,2022-07-29 00:00:00,0
4806,2022-07-29 00:00:00,0
4808,2022-07-29 00:00:00,2
4810,2022-07-29 00:00:00,0
4812,2022-07-29 00:00:00,0
4814,2022-07-29 00:00:00,4
4816,2022-07-29 00:00:00,0
4818,2022-07-29 00:00:00,0
4820,2022-07-29 00:00:00,5
4822,2022-07-29 00:00:00,3
4504,2022-07-26 00:00:00,0
4506,2022-07-26 00:00:00,6
4510,2022-07-26 00:00:00,7
4508,2022-07-26 00:00:00,16
4512,2022-07-26 00:00:00,20
4514,2022-07-26 00:00:00,2
4516,2022-07-26 00:00:00,8
4518,2022-07-26 00:00:00,4
4704,2022-07-22 00:00:00,5
4706,2022-07-22 00:00:00,4
4708,2022-07-22 00:00:00,0
4710,2022-07-22 00:00:00,0
4712,2022-07-22 00:00:00,0
4714,2022-07-22 00:00:00,0
4716,2022-07-22 00:00:00,1
