Codigo,Glosa,Cargo_fijo,Descue,descripcion
1944,1944 Social PRO 31990,31990,25.0,
1945,1945 Conectado PRO 42990,42990,25.0,
1963,1963 Emp Conectada SIM,20160,18.0,
2039,2039 Emp Conectada SIM,10990,32.0,
2040,2040 Emp Conectada SIM,13990,18.0,
2041,2041 Emp Conectada SIM,16990,18.0,
2042,2042 Emp Conectada SIM,18990,22.0,
2050,2050 Emp Conectada PRO,13990,18.0,
2051,2051 Emp Conectada PRO,18990,36.0,
2052,2052 Emp Conectada PRO,25990,40.0,
2053,2053 Emp Conectada PRO,29990,33.0,
2054,2054 Emp Conectada PRO,39990,40.0,
2055,2055 Emp Conectada PRO,9990,37.0,
2110,Empresa Extra 10 GB SIM,10990,33.12101911,Cargo Fijo Plan Empresa Extra 10 GB SIM
2115,2115 Emp. Extra SIM,32990,44.2558351,
2116,Empresa Extra 7 GB PRO,10990,42.7297543,Cargo Fijo Plan Empresa Extra 7 GB PRO
2117,2117 Emp. Extra PRO,14990,58.305537,Cargo Fijo Plan 2117 Emp. Extra PRO
2118,2118 Emp. Extra PRO,19990,57.4787394,Cargo Fijo Plan 2118 Emp. Extra PRO
2119,2119 Emp. Extra PRO,25990,63.4474798,Cargo Fijo Plan 2119 Emp. Extra PRO
2120,2120 Emp. Extra PRO,29990,59.9866622,Cargo Fijo Plan 2120 Emp. Extra PRO
2121,2121 Emp. Extra PRO,39990,61.2403101,Cargo Fijo Plan 2121 Emp. Extra PRO
2122,Empresa Extra Libre PRO,54990,63.6297509,Cargo Fijo Plan Empresa Extra Libre PRO
2123,Empresa Extra Libre + PRO,69990,40.0,Cargo Fijo Plan Empresa Extra Libre + PRO
2132,BAM Empresas Plus 35 GB,15900,0.0,
2134,BAM Empresas Plus 80 GB,25900,0.0,
2199,2199 Emp. Extra SIM,10990,36.3057325,Cargo Fijo Plan 2199 Emp. Extra SIM
2200,2200 Emp. Extra SIM,15990,49.9687305,Cargo Fijo Plan 2200 Emp. Extra SIM
2201,2201 Emp. Extra SIM,20990,57.1224393,Cargo Fijo Plan 2201 Emp. Extra SIM
2203,2203 Emp. Extra SIM,26990,68.1721734,Cargo Fijo Plan 2203 Emp. Extra SIM
2243,Emp. Extra PRO 18 GB,13990,32.0943531,Cargo Fijo Plan 2243 Emp. Extra PRO
2244,2244 Emp. Extra PRO 55 GB,21990,54.5702592,Cargo Fijo Plan 2244 Emp. Extra PRO
2245,Emp. Extra PRO Libre,29990,38.3127709,Cargo Fijo Plan 2245 Emp. Extra PRO
2246,Emp. extra PRO Libre,41990,42.8673494,
2247,2247 Emp. Extra PRO,52990,50.95301,Cargo Fijo Plan 2247 Emp. Extra PRO
