fecha,item,hora,concepto,monto,responsable
2023-01-30 00:00:00,,1899-12-30 15:15:00,flete,4000,cary
2023-01-31 00:00:00,,1899-12-30 01:36:00,retiro,50000,cary
2023-01-31 00:00:00,,1899-12-30 01:53:00,flete,4000,cary
2023-02-01 00:00:00,,1899-12-30 01:37:00,flete,4000,cary
2023-02-01 00:00:00,,1899-12-30 01:38:00,retiro,100000,cary
2023-02-01 00:00:00,,1899-12-30 05:03:00,retiro,120000,cary
1899-12-30 00:03:55,,1899-12-31 00:00:00,200000,4,
1899-12-30 00:03:55,,1900-01-01 00:00:00,5000,4,
2021-02-11 00:00:00,,1899-12-30 12:00:00,almuerzo,7000,julie
2021-02-11 00:00:00,,1899-12-30 12:00:00,almuerzo,6000,julie
2021-02-11 00:00:00,,1899-12-30 12:00:00,almuerzo,8000,julie
2021-02-11 00:00:00,,1899-12-30 12:00:00,almuerzo,5000,julie
2021-11-02 00:00:00,,1899-12-30 12:00:00,almuerzo,7000,julie
2021-11-02 00:00:00,,1899-12-30 16:35:00,propina,16000,cari
2021-11-02 00:00:00,,1899-12-30 01:00:00,diferencia,15000,julie
2021-11-02 00:00:00,,1899-12-30 17:30:00,otro,1890,cari
2021-11-02 00:00:00,,1899-12-30 18:00:00,once,640,cari
2022-01-18 00:00:00,,1899-12-30 13:00:00,prestamo,15000,julie
2022-01-17 00:00:00,,1899-12-30 15:30:00,pago,20000,julie
2022-07-22 00:00:00,,1899-12-30 14:00:00,RETIRO,100000,JULIA
2022-07-22 00:00:00,,1899-12-30 14:30:00,ANTICIPO,12000,CARINA
2022-07-26 00:00:00,,1899-12-30 12:00:00,retiro,80000,
2022-07-26 00:00:00,,1899-12-30 13:00:00,retiro,60000,
2022-07-26 00:00:00,,1899-12-30 17:15:00,flete,8000,
2022-07-26 00:00:00,,1899-12-30 12:00:00,pan,2000,
2022-07-27 00:00:00,,1899-12-30 17:00:00,retiro,80000,c
2022-07-29 00:00:00,,1899-12-30 17:00:00,retiro,30000,
2022-08-01 00:00:00,,1899-12-30 12:00:00,flete,8000,cary
2022-08-01 00:00:00,,1899-12-30 17:00:00,retiro,40000,cary
2022-08-02 00:00:00,,1899-12-30 12:00:00,flete,4000,c.
2022-08-02 00:00:00,,1899-12-30 17:00:00,retiro,50000,c
2022-08-04 00:00:00,,1899-12-30 03:00:00,fleteflrtr,4000,cary
2022-08-04 00:00:00,,1899-12-30 12:00:00,crema,10500,julie
2022-08-04 00:00:00,,1899-12-30 11:00:00,hhhh,14500,kkk
2022-08-04 00:00:00,,1899-12-30 13:00:00,,-14500,kkk
2022-08-05 00:00:00,,1899-12-30 12:00:00,pedro,40000,cary
2022-08-12 00:00:00,,1899-12-30 13:00:00,reetiro,80000,cary
2022-08-16 00:00:00,,1899-12-30 11:00:00,pan,2000,cary
2022-08-17 00:00:00,,1899-12-30 17:00:00,retiro,120000,cari
2022-08-18 00:00:00,,1899-12-30 17:00:00,retiro,70000,cary
2022-08-22 00:00:00,,1899-12-30 13:00:00,flete,20000,cary
2022-08-22 00:00:00,,1899-12-30 17:00:00,retiro,30000,cary
2022-08-23 00:00:00,,1899-12-30 11:00:00,retiro,100000,cary
