codigo,descripcion,precio_costo,Precio_venta,cod_cole,articulo
21.0,Falda Gris  Talla 6,0,17000.0,7,Falda Gris
1104.0,Polera Pique MC LR Talla 4,,12500.0,1,Polera Azul Manga Corta
1106.0,Polera Pique MC LR Talla 6,0,13000.0,1,Polera Azul Manga Corta
1108.0,Polera Pique MC LR Talla 8,0,14000.0,1,Polera Azul Manga Corta
1110.0,Polera Pique MC LR Talla 10,0,14500.0,1,Polera Azul Manga Corta
1112.0,Polera Pique MC LR Talla 12,0,15000.0,1,Polera Azul Manga Corta
1114.0,Polera Pique MC LR Talla 14,0,15500.0,1,Polera Azul Manga Corta
1116.0,Polera Pique MC LR Talla 16,0,16000.0,1,Polera Azul Manga Corta
1118.0,Polera Pique MC LR Talla S,0,17000.0,1,Polera Azul Manga Corta
1120.0,Polera Pique MC LR Talla M,0,18000.0,1,Polera Azul Manga Corta
1122.0,Polera Pique MC LR Talla  L,0,18500.0,1,Polera Azul Manga Corta
1124.0,Polera Pique MC LR Talla XL,0,19000.0,1,Polera Azul Manga Corta
1126.0,Polera Pique MC LR Talla XXL,0,20000.0,1,Polera Azul Manga Corta
1204.0,Polera Pique ML L R Talla 4,,14000.0,1,Polera Azul Manga Larga
1206.0,Polera Pique ML LR Talla 6,,14500.0,1,Polera Azul Manga Larga
1208.0,Polera Pique ML LR Talla 8,,15000.0,1,Polera Azul Manga Larga
1210.0,Polera Pique ML LR Talla 10,,15490.0,1,Polera Azul Manga Larga
1212.0,Polera Pique ML LR Talla 12,,15490.0,1,Polera Azul Manga Larga
1214.0,Polera Pique ML LR Talla 14,,15990.0,1,Polera Azul Manga Larga
1216.0,Polera Pique ML LR Talla 16,,15990.0,1,Polera Azul Manga Larga
1218.0,Polera Pique ML LR Talla S,,16990.0,1,Polera Azul Manga Larga
1220.0,Polera Pique ML LR Talla M,,16990.0,1,Polera Azul Manga Larga
1222.0,Polera Pique ML LR Talla L,,16990.0,1,Polera Azul Manga Larga
1224.0,Polera Pique ML LR Talla XL,,17500.0,1,Polera Azul Manga Larga
1226.0,Polera Pique ML LR Talla XXL,,18500.0,1,Polera Azul Manga Larga
1304.0,Polera Gris MC LR Talla 4,,4250.0,1,Polera Gris Manga Corta
1306.0,Polera Gris MC L R Talla 6,,4500.0,1,Polera Gris Manga Corta
1308.0,Polera Gris MC LR Talla 8,,4800.0,1,Polera Gris Manga Corta
1310.0,Polera Gris MC LR Talla 10,,5000.0,1,Polera Gris Manga Corta
1312.0,Polera Gris MC LR Talla 12,,5250.0,1,Polera Gris Manga Corta
1314.0,Polera Gris MC LR Talla 14,,5500.0,1,Polera Gris Manga Corta
1316.0,Polera Gris MC LR Talla 16,,5500.0,1,Polera Gris Manga Corta
1318.0,Polera Gris Manga Corta Los Reyes Talla S,,5750.0,1,Polera Gris Manga Corta
1320.0,Polera Gris Manga Corta Los Reyes Talla M,,5750.0,1,Polera Gris Manga Corta
1322.0,Polera Gris Manga Corta Los Reyes Talla L,,6000.0,1,Polera Gris Manga Corta
1324.0,Polera Gris Manga Corta Los Reyes Talla XL,,6000.0,1,Polera Gris Manga Corta
1326.0,Polera Gris Manga Corta Los Reyes Talla XXL,,6000.0,1,Polera Gris Manga Corta
1404.0,Polera Gris Manga Larga Los Reyes   Talla 4,0,6800.0,1,Polera Gris Manga Larga
1406.0,Polera Gris Manga Larga Los Reyes    Talla 6,0,7100.0,1,Polera Gris Manga Larga
1408.0,Polera Gris Manga Larga Los Reyes    Talla 8,0,7350.0,1,Polera Gris Manga Larga
1410.0,Polera Gris Manga Larga Los Reyes   Talla 10,0,7650.0,1,Polera Gris Manga Larga
1412.0,Polera Gris Manga Larga Los Reyes    Talla 12,0,7950.0,1,Polera Gris Manga Larga
1414.0,Polera Gris Manga Larga Los Reyes    Talla 14,0,8200.0,1,Polera Gris Manga Larga
1416.0,Polera Gris Manga Larga Los Reyes    Talla 16,0,8500.0,1,Polera Gris Manga Larga
1418.0,Polera Gris Manga Larga Los Reyes    Talla S,0,8800.0,1,Polera Gris Manga Larga
1420.0,Polera Gris Manga Larga Los Reyes    Talla M,0,8800.0,1,Polera Gris Manga Larga
1422.0,Polera Gris Manga Larga Los Reyes   Talla L,0,9000.0,1,Polera Gris Manga Larga
