id,title,handle,description,status,category_id,type,collection_id,tags,thumbnail,weight,length,height,width,hs_code,origin_country,mid_code,material
prod_1,Falda Gris - VARIOS COLEGIOS,falda-gris-varios-colegios,Uniforme escolar - Falda Gris,published,college_7,uniform,,"VARIOS COLEGIOS,Falda Gris",,,,,,,CL,,
prod_2,Polera Azul Manga Cor - COLEGIO LOS REYES,polera-azul-manga-cor-colegio-los-reyes,Uniforme escolar - Polera Azul Manga Corta,published,college_1,uniform,,"COLEGIO LOS REYES,Polera Azul Manga Corta",,,,,,,CL,,
prod_3,Polera Azul Manga Larga - COLEGIO LOS REYES,polera-azul-manga-larga-colegio-los-reyes,Uniforme escolar - Polera Azul Manga Larga,published,college_1,uniform,,"COLEGIO LOS REYES,Polera Azul Manga Larga",,,,,,,CL,,
prod_4,Polera Gris Manga Cor - COLEGIO LOS REYES,polera-gris-manga-cor-colegio-los-reyes,Uniforme escolar - Polera Gris Manga Corta,published,college_1,uniform,,"COLEGIO LOS REYES,Polera Gris Manga Corta",,,,,,,CL,,
prod_5,Polera Gris Manga Larga - COLEGIO LOS REYES,polera-gris-manga-larga-colegio-los-reyes,Uniforme escolar - Polera Gris Manga Larga,published,college_1,uniform,,"COLEGIO LOS REYES,Polera Gris Manga Larga",,,,,,,CL,,
prod_6,Polerón Azul - COLEGIO LOS REYES,polern-azul-colegio-los-reyes,Uniforme escolar - Polerón Azul,published,college_1,uniform,,"COLEGIO LOS REYES,Polerón Azul",,,,,,,CL,,
prod_7,Poleron Azul - COLEGIO LOS REYES,poleron-azul-colegio-los-reyes,Uniforme escolar - Poleron Azul,published,college_1,uniform,,"COLEGIO LOS REYES,Poleron Azul",,,,,,,CL,,
prod_8,Polerón Gris - COLEGIO LOS REYES,polern-gris-colegio-los-reyes,Uniforme escolar - Polerón Gris,published,college_1,uniform,,"COLEGIO LOS REYES,Polerón Gris",,,,,,,CL,,
prod_9,Calza Cor - VARIOS COLEGIOS,calza-cor-varios-colegios,Uniforme escolar - Calza Corta,published,college_7,uniform,,"VARIOS COLEGIOS,Calza Corta",,,,,,,CL,,
prod_10,calzas - VARIOS COLEGIOS,calzas-varios-colegios,Uniforme escolar - calzas,published,college_7,uniform,,"VARIOS COLEGIOS,calzas",,,,,,,CL,,
prod_11,Calza Larga - VARIOS COLEGIOS,calza-larga-varios-colegios,Uniforme escolar - Calza Larga,published,college_7,uniform,,"VARIOS COLEGIOS,Calza Larga",,,,,,,CL,,
prod_12,Short - COLEGIO LOS REYES,short-colegio-los-reyes,Uniforme escolar - Short,published,college_1,uniform,,"COLEGIO LOS REYES,Short",,,,,,,CL,,
prod_13,Delan Cuadrillé Rojo - VARIOS COLEGIOS,delan-cuadrill-rojo-varios-colegios,Uniforme escolar - Delantal Cuadrillé Rojo,published,college_7,uniform,,"VARIOS COLEGIOS,Delantal Cuadrillé Rojo",,,,,,,CL,,
prod_14,Parka - COLEGIO LOS REYES,parka-colegio-los-reyes,Uniforme escolar - Parka,published,college_1,uniform,,"COLEGIO LOS REYES,Parka",,,,,,,CL,,
prod_15,Pan Buzo - COLEGIO LOS REYES,pan-buzo-colegio-los-reyes,Uniforme escolar - Pantalón Buzo,published,college_1,uniform,,"COLEGIO LOS REYES,Pantalón Buzo",,,,,,,CL,,
prod_16,Chaque Buzo - COLEGIO LOS REYES,chaque-buzo-colegio-los-reyes,Uniforme escolar - Chaqueta Buzo,published,college_1,uniform,,"COLEGIO LOS REYES,Chaqueta Buzo",,,,,,,CL,,
prod_17,Co Beige - VARIOS COLEGIOS,co-beige-varios-colegios,Uniforme escolar - Cotona Beige,published,college_7,uniform,,"VARIOS COLEGIOS,Cotona Beige",,,,,,,CL,,
prod_18,Delan - VARIOS COLEGIOS,delan-varios-colegios,Uniforme escolar - Delantal,published,college_7,uniform,,"VARIOS COLEGIOS,Delantal",,,,,,,CL,,
prod_19,Co - VARIOS COLEGIOS,co-varios-colegios,Uniforme escolar - Cotona,published,college_7,uniform,,"VARIOS COLEGIOS,Cotona",,,,,,,CL,,
prod_20,calza Cor - VARIOS COLEGIOS,calza-cor-varios-colegios,Uniforme escolar - calza Corta,published,college_7,uniform,,"VARIOS COLEGIOS,calza Corta",,,,,,,CL,,
prod_21,Calza Larga - SUEÑOS MAGICOS,calza-larga-sueos-magicos,Uniforme escolar - Calza Larga,published,college_5,uniform,,"SUEÑOS MAGICOS,Calza Larga",,,,,,,CL,,
prod_22,Short - SOLRÍE,short-solre,Uniforme escolar - Short,published,college_6,uniform,,"SOLRÍE,Short",,,,,,,CL,,
prod_23,Polera Azul Manga Cor - NUEVO HORIZONTE,polera-azul-manga-cor-nuevo-horizonte,Uniforme escolar - Polera Azul Manga Corta,published,college_3,uniform,,"NUEVO HORIZONTE,Polera Azul Manga Corta",,,,,,,CL,,
prod_24,Polera Blanca MC - NUEVO HORIZONTE,polera-blanca-mc-nuevo-horizonte,Uniforme escolar - Polera Blanca MC,published,college_3,uniform,,"NUEVO HORIZONTE,Polera Blanca MC",,,,,,,CL,,
prod_25,Polera blanca ML - NUEVO HORIZONTE,polera-blanca-ml-nuevo-horizonte,Uniforme escolar - Polera blanca ML,published,college_3,uniform,,"NUEVO HORIZONTE,Polera blanca ML",,,,,,,CL,,
prod_26,Co Verde - NUEVO HORIZONTE,co-verde-nuevo-horizonte,Uniforme escolar - Cotona Verde,published,college_3,uniform,,"NUEVO HORIZONTE,Cotona Verde",,,,,,,CL,,
prod_27,Delan Cuadrille Verde - NUEVO HORIZONTE,delan-cuadrille-verde-nuevo-horizonte,Uniforme escolar - Delantal Cuadrille Verde,published,college_3,uniform,,"NUEVO HORIZONTE,Delantal Cuadrille Verde",,,,,,,CL,,
prod_28,Falda Escosesa - NUEVO HORIZONTE,falda-escosesa-nuevo-horizonte,Uniforme escolar - Falda Escosesa,published,college_3,uniform,,"NUEVO HORIZONTE,Falda Escosesa",,,,,,,CL,,
prod_29,Pan Buzo - NUEVO HORIZONTE,pan-buzo-nuevo-horizonte,Uniforme escolar - Pantalón Buzo,published,college_3,uniform,,"NUEVO HORIZONTE,Pantalón Buzo",,,,,,,CL,,
prod_30,Chaque Buzo - NUEVO HORIZONTE,chaque-buzo-nuevo-horizonte,Uniforme escolar - Chaqueta Buzo,published,college_3,uniform,,"NUEVO HORIZONTE,Chaqueta Buzo",,,,,,,CL,,
prod_31,Bolsi Kinder - COLEGIO LOS REYES,bolsi-kinder-colegio-los-reyes,Uniforme escolar - Bolsita Kinder,published,college_1,uniform,,"COLEGIO LOS REYES,Bolsita Kinder",,,,,,,CL,,
prod_32,Jockey - VARIOS CODIGOS,jockey-varios-codigos,Uniforme escolar - Jockey ,published,college_10,uniform,,"VARIOS CODIGOS,Jockey ",,,,,,,CL,,
prod_33,Pan Casimir - VARIOS COLEGIOS,pan-casimir-varios-colegios,Uniforme escolar - Pantalón Casimir,published,college_7,uniform,,"VARIOS COLEGIOS,Pantalón Casimir",,,,,,,CL,,
prod_34,BORDADO - VARIOS CODIGOS,bordado-varios-codigos,Uniforme escolar - BORDADO,published,college_10,uniform,,"VARIOS CODIGOS,BORDADO",,,,,,,CL,,
prod_35,arreglos - VARIOS CODIGOS,arreglos-varios-codigos,Uniforme escolar - arreglos,published,college_10,uniform,,"VARIOS CODIGOS,arreglos",,,,,,,CL,,
prod_36,gorro lana - VARIOS COLEGIOS,gorro-lana-varios-colegios,Uniforme escolar - gorro lana,published,college_7,uniform,,"VARIOS COLEGIOS,gorro lana",,,,,,,CL,,
prod_37,Bordado - VARIOS CODIGOS,bordado-varios-codigos,Uniforme escolar - Bordado,published,college_10,uniform,,"VARIOS CODIGOS,Bordado",,,,,,,CL,,
prod_38,nan - VARIOS COLEGIOS,nan-varios-colegios,Uniforme escolar - nan,published,college_7,uniform,,"VARIOS COLEGIOS,nan",,,,,,,CL,,
