id,product_id,title,sku,barcode,hs_code,origin_country,mid_code,material,weight,length,height,width,allow_backorder,manage_inventory,inventory_quantity,prices,option_1,option_2,option_3
var_1_1,prod_1,Falda Gris - VARIOS COLEGIOS - Talla 6,21,,,CL,,,,,,,True,True,100,17000,6,,
var_1_2,prod_1,Falda Gris - VARIOS COLEGIOS - Talla 4,2104,,,CL,,,,,,,True,True,100,16500,4,,
var_1_3,prod_1,Falda Gris - VARIOS COLEGIOS - Talla 6,2106,,,CL,,,,,,,True,True,100,17000,6,,
var_1_4,prod_1,Falda Gris - VARIOS COLEGIOS - Talla 8,2108,,,CL,,,,,,,True,True,100,17500,8,,
var_1_5,prod_1,Falda Gris - VARIOS COLEGIOS - Talla 10,2110,,,CL,,,,,,,True,True,100,17500,10,,
var_1_6,prod_1,Falda Gris - VARIOS COLEGIOS - Talla 12,2112,,,CL,,,,,,,True,True,100,18000,12,,
var_1_7,prod_1,Falda Gris - VARIOS COLEGIOS - Talla 14,2114,,,CL,,,,,,,True,True,100,18000,14,,
var_1_8,prod_1,Falda Gris - VARIOS COLEGIOS - Talla 16,2116,,,CL,,,,,,,True,True,100,18500,16,,
var_1_9,prod_1,Falda Gris - VARIOS COLEGIOS - Talla 38,2138,,,CL,,,,,,,True,True,100,18500,38,,
var_1_10,prod_1,Falda Gris - VARIOS COLEGIOS - Talla 40,2140,,,CL,,,,,,,True,True,100,19500,40,,
var_1_11,prod_1,Falda Gris - VARIOS COLEGIOS - Talla 42,2142,,,CL,,,,,,,True,True,100,20000,42,,
var_1_12,prod_1,Falda Gris - VARIOS COLEGIOS - Talla 44,2144,,,CL,,,,,,,True,True,100,21500,44,,
var_1_13,prod_1,Falda Gris - VARIOS COLEGIOS - Talla 46,2146,,,CL,,,,,,,True,True,100,22000,46,,
var_1_14,prod_1,Falda Gris - VARIOS COLEGIOS - Talla 48,2148,,,CL,,,,,,,True,True,100,22000,48,,
var_1_15,prod_1,Falda Gris - VARIOS COLEGIOS - Talla 50,2150,,,CL,,,,,,,True,True,100,22000,50,,
var_1_16,prod_1,Falda Gris - VARIOS COLEGIOS - Talla 52,2152,,,CL,,,,,,,True,True,100,22000,52,,
var_1_17,prod_1,Falda Gris - VARIOS COLEGIOS - Talla 54,2154,,,CL,,,,,,,True,True,100,22000,54,,
var_1_18,prod_1,Falda Gris - VARIOS COLEGIOS - Talla 56,2156,,,CL,,,,,,,True,True,100,22000,56,,
var_2_1,prod_2,Polera Azul Manga Cor - COLEGIO LOS REYES - Talla 4,1104,,,CL,,,,,,,True,True,100,12500,4,,
var_2_2,prod_2,Polera Azul Manga Cor - COLEGIO LOS REYES - Talla 6,1106,,,CL,,,,,,,True,True,100,13000,6,,
var_2_3,prod_2,Polera Azul Manga Cor - COLEGIO LOS REYES - Talla 8,1108,,,CL,,,,,,,True,True,100,14000,8,,
var_2_4,prod_2,Polera Azul Manga Cor - COLEGIO LOS REYES - Talla 10,1110,,,CL,,,,,,,True,True,100,14500,10,,
var_2_5,prod_2,Polera Azul Manga Cor - COLEGIO LOS REYES - Talla 12,1112,,,CL,,,,,,,True,True,100,15000,12,,
var_2_6,prod_2,Polera Azul Manga Cor - COLEGIO LOS REYES - Talla 14,1114,,,CL,,,,,,,True,True,100,15500,14,,
var_2_7,prod_2,Polera Azul Manga Cor - COLEGIO LOS REYES - Talla 16,1116,,,CL,,,,,,,True,True,100,16000,16,,
var_2_8,prod_2,Polera Azul Manga Cor - COLEGIO LOS REYES - Talla S,1118,,,CL,,,,,,,True,True,100,17000,S,,
var_2_9,prod_2,Polera Azul Manga Cor - COLEGIO LOS REYES - Talla M,1120,,,CL,,,,,,,True,True,100,18000,M,,
var_2_10,prod_2,Polera Azul Manga Cor - COLEGIO LOS REYES - Talla L,1122,,,CL,,,,,,,True,True,100,18500,L,,
var_2_11,prod_2,Polera Azul Manga Cor - COLEGIO LOS REYES - Talla XL,1124,,,CL,,,,,,,True,True,100,19000,XL,,
var_2_12,prod_2,Polera Azul Manga Cor - COLEGIO LOS REYES - Talla XXL,1126,,,CL,,,,,,,True,True,100,20000,XXL,,
var_3_1,prod_3,Polera Azul Manga Larga - COLEGIO LOS REYES - Talla 4,1204,,,CL,,,,,,,True,True,100,14000,4,,
var_3_2,prod_3,Polera Azul Manga Larga - COLEGIO LOS REYES - Talla 6,1206,,,CL,,,,,,,True,True,100,14500,6,,
var_3_3,prod_3,Polera Azul Manga Larga - COLEGIO LOS REYES - Talla 8,1208,,,CL,,,,,,,True,True,100,15000,8,,
var_3_4,prod_3,Polera Azul Manga Larga - COLEGIO LOS REYES - Talla 10,1210,,,CL,,,,,,,True,True,100,15490,10,,
var_3_5,prod_3,Polera Azul Manga Larga - COLEGIO LOS REYES - Talla 12,1212,,,CL,,,,,,,True,True,100,15490,12,,
var_3_6,prod_3,Polera Azul Manga Larga - COLEGIO LOS REYES - Talla 14,1214,,,CL,,,,,,,True,True,100,15990,14,,
var_3_7,prod_3,Polera Azul Manga Larga - COLEGIO LOS REYES - Talla 16,1216,,,CL,,,,,,,True,True,100,15990,16,,
var_3_8,prod_3,Polera Azul Manga Larga - COLEGIO LOS REYES - Talla S,1218,,,CL,,,,,,,True,True,100,16990,S,,
var_3_9,prod_3,Polera Azul Manga Larga - COLEGIO LOS REYES - Talla M,1220,,,CL,,,,,,,True,True,100,16990,M,,
var_3_10,prod_3,Polera Azul Manga Larga - COLEGIO LOS REYES - Talla L,1222,,,CL,,,,,,,True,True,100,16990,L,,
var_3_11,prod_3,Polera Azul Manga Larga - COLEGIO LOS REYES - Talla XL,1224,,,CL,,,,,,,True,True,100,17500,XL,,
var_3_12,prod_3,Polera Azul Manga Larga - COLEGIO LOS REYES - Talla XXL,1226,,,CL,,,,,,,True,True,100,18500,XXL,,
var_4_1,prod_4,Polera Gris Manga Cor - COLEGIO LOS REYES - Talla 4,1304,,,CL,,,,,,,True,True,100,4250,4,,
var_4_2,prod_4,Polera Gris Manga Cor - COLEGIO LOS REYES - Talla 6,1306,,,CL,,,,,,,True,True,100,4500,6,,
var_4_3,prod_4,Polera Gris Manga Cor - COLEGIO LOS REYES - Talla 8,1308,,,CL,,,,,,,True,True,100,4800,8,,
